Authors/Speakers,Title,datetime,type,day,date,time,start_time,end_time
"Aleksei Ustimenko,Liudmila Prokhorenkova",StochasticRank: Global Optimization of Scale-Free Discrete Functions,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Allan Grønlund,Lior Kamma,Kasper Green Larsen",Near-Tight Margin-Based Generalization Bounds for Support Vector Machines,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Allan Grønlund,Lior Kamma,Kasper Green Larsen",Near-Tight Margin-Based Generalization Bounds for Support Vector Machines,Wed Jul 15 09:00 AM -- 09:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,09:00 AM,09:45 AM
"Richard Nock,Aditya Menon",Supervised learning: no loss no cry,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Richard Nock,Aditya Menon",Supervised learning: no loss no cry,Wed Jul 15 09:00 AM -- 09:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,09:00 AM,09:45 AM
"Xiao Li,Chenghua Lin,Ruizhe Li,Chaozheng Wang,Frank Guerin",Latent Space Factorisation and Manipulation via Matrix Subspace Projection,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Xiao Li,Chenghua Lin,Ruizhe Li,Chaozheng Wang,Frank Guerin",Latent Space Factorisation and Manipulation via Matrix Subspace Projection,Wed Jul 15 09:00 AM -- 09:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,09:00 AM,09:45 AM
"Shuang Li,Lu Wang,Ruizhi Zhang,xiaofu Chang,Xuqin Liu,Yao Xie,Yuan Qi,Le Song",Temporal Logic Point Processes,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Shuang Li,Lu Wang,Ruizhi Zhang,xiaofu Chang,Xuqin Liu,Yao Xie,Yuan Qi,Le Song",Temporal Logic Point Processes,Wed Jul 15 09:00 AM -- 09:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,09:00 AM,09:45 AM
Marc Brockschmidt,GNN-FiLM: Graph Neural Networks with Feature-wise Linear Modulation,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
Marc Brockschmidt,GNN-FiLM: Graph Neural Networks with Feature-wise Linear Modulation,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Gregor Bachmann,Gary Becigneul,Octavian Ganea",Constant Curvature Graph Convolutional Networks,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Gregor Bachmann,Gary Becigneul,Octavian Ganea",Constant Curvature Graph Convolutional Networks,Wed Jul 15 09:00 AM -- 09:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,09:00 AM,09:45 AM
"Joost van Amersfoort,Lewis Smith,Yee Whye Teh,Yarin Gal",Simple and Scalable Epistemic Uncertainty Estimation Using a Single Deep Deterministic Neural Network,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Joost van Amersfoort,Lewis Smith,Yee Whye Teh,Yarin Gal",Simple and Scalable Epistemic Uncertainty Estimation Using a Single Deep Deterministic Neural Network,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Gellért Weisz,Tor Lattimore,Csaba Szepesvari",Learning with Good Feature Representations in Bandits and in RL with a Generative Model,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Gellért Weisz,Tor Lattimore,Csaba Szepesvari",Learning with Good Feature Representations in Bandits and in RL with a Generative Model,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Ayush Jain,Andrew Szot,Joseph Lim",Generalization to New Actions in Reinforcement Learning,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Ayush Jain,Andrew Szot,Joseph Lim",Generalization to New Actions in Reinforcement Learning,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Aleksei Triastcyn,Boi Faltings",Bayesian Differential Privacy for Machine Learning,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Aleksei Triastcyn,Boi Faltings",Bayesian Differential Privacy for Machine Learning,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"David Stutz,Matthias Hein,Bernt Schiele",Confidence-Calibrated Adversarial Training: Generalizing to Unseen Attacks,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"David Stutz,Matthias Hein,Bernt Schiele",Confidence-Calibrated Adversarial Training: Generalizing to Unseen Attacks,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Murray Shanahan,Kyriacos Nikiforou,Antonia Creswell,Christos Kaplanis,David GT Barrett,Marta Garnelo",An Explicitly Relational Neural Network Architecture,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Murray Shanahan,Kyriacos Nikiforou,Antonia Creswell,Christos Kaplanis,David GT Barrett,Marta Garnelo",An Explicitly Relational Neural Network Architecture,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Gregory Farquhar,Laura  Gustafson,Zeming Lin,Shimon Whiteson,Nicolas Usunier,Gabriel Synnaeve",Growing Action Spaces,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Gregory Farquhar,Laura  Gustafson,Zeming Lin,Shimon Whiteson,Nicolas Usunier,Gabriel Synnaeve",Growing Action Spaces,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Shubhanshu Shekhar,Tara Javidi,Mohammad Ghavamzadeh",Adaptive Sampling for Estimating Probability Distributions,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Shubhanshu Shekhar,Tara Javidi,Mohammad Ghavamzadeh",Adaptive Sampling for Estimating Probability Distributions,Wed Jul 15 09:00 AM -- 09:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,09:00 AM,09:45 AM
"Andrea Tirinzoni,Riccardo Poiani,Marcello Restelli",Sequential Transfer in Reinforcement Learning with a Generative Model,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Andrea Tirinzoni,Riccardo Poiani,Marcello Restelli",Sequential Transfer in Reinforcement Learning with a Generative Model,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Daniele Zambon,Cesare Alippi,Lorenzo Livi",Graph Random Neural Features for Distance-Preserving Graph Representations,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Daniele Zambon,Cesare Alippi,Lorenzo Livi",Graph Random Neural Features for Distance-Preserving Graph Representations,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Jonas Köhler,Leon Klein,Frank Noe",Equivariant Flows: exact likelihood generative learning for symmetric densities.,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Jonas Köhler,Leon Klein,Frank Noe",Equivariant Flows: exact likelihood generative learning for symmetric densities.,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Francesca Mignacco,Florent Krzakala,Yue Lu,Pierfrancesco Urbani,Lenka Zdeborova",The role of regularization in classification of high-dimensional noisy Gaussian mixture,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Francesca Mignacco,Florent Krzakala,Yue Lu,Pierfrancesco Urbani,Lenka Zdeborova",The role of regularization in classification of high-dimensional noisy Gaussian mixture,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Ahmed Alaa,Mihaela van der Schaar",Frequentist Uncertainty in Recurrent Neural Networks via Blockwise Influence Functions,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Ahmed Alaa,Mihaela van der Schaar",Frequentist Uncertainty in Recurrent Neural Networks via Blockwise Influence Functions,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Umut Simsekli,Lingjiong Zhu,Yee Whye Teh,Mert Gurbuzbalaban",Fractional Underdamped Langevin Dynamics: Retargeting SGD with Momentum under Heavy-Tailed Gradient Noise,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Umut Simsekli,Lingjiong Zhu,Yee Whye Teh,Mert Gurbuzbalaban",Fractional Underdamped Langevin Dynamics: Retargeting SGD with Momentum under Heavy-Tailed Gradient Noise,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Pierre Laforgue,Alex Lambert,Luc Brogat-Motte,Florence d'Alche-Buc",Duality in RKHSs with Infinite Dimensional Outputs: Application to Robust Losses,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Pierre Laforgue,Alex Lambert,Luc Brogat-Motte,Florence d'Alche-Buc",Duality in RKHSs with Infinite Dimensional Outputs: Application to Robust Losses,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Quentin Bertrand,Quentin Klopfenstein,Mathieu Blondel,Samuel Vaiter,Alexandre Gramfort,Joseph Salmon",Implicit differentiation of Lasso-type models for hyperparameter optimization,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Quentin Bertrand,Quentin Klopfenstein,Mathieu Blondel,Samuel Vaiter,Alexandre Gramfort,Joseph Salmon",Implicit differentiation of Lasso-type models for hyperparameter optimization,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Dan Garber,Gal Korcia,Kfir Levy",Online Convex Optimization in the Random Order Model,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Dan Garber,Gal Korcia,Kfir Levy",Online Convex Optimization in the Random Order Model,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Joeri Hermans,Volodimir Begy,Gilles Louppe",Likelihood-free MCMC with Amortized Approximate Ratio Estimators,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Joeri Hermans,Volodimir Begy,Gilles Louppe",Likelihood-free MCMC with Amortized Approximate Ratio Estimators,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Auke Wiggers,Emiel Hoogeboom",Predictive Sampling with Forecasting Autoregressive Models,Tue Jul 14 10:00 PM -- 10:45 PM,Poster,Tue,Jul 14,Jul 14,10:00 PM,10:45 PM
"Auke Wiggers,Emiel Hoogeboom",Predictive Sampling with Forecasting Autoregressive Models,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
,Coffee Break,Tue Jul 14 10:45 PM -- 11:00 PM (CEST) ,Break,Tue,Jul 14,Jul 14,10:45 PM,11:00 PM
"Mathieu Blondel,Olivier Teboul,Quentin Berthet,Josip Djolonga",Fast Differentiable Sorting and Ranking,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Mathieu Blondel,Olivier Teboul,Quentin Berthet,Josip Djolonga",Fast Differentiable Sorting and Ranking,Wed Jul 15 12:00 PM -- 12:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,12:00 PM,12:45 PM
"Paolo Ferragina,Fabrizio Lillo,Giorgio Vinciguerra",Why Are Learned Indexes So Effective?,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Paolo Ferragina,Fabrizio Lillo,Giorgio Vinciguerra",Why Are Learned Indexes So Effective?,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Reinhard Heckel,Mahdi Soltanolkotabi",Compressive sensing with un-trained neural networks: Gradient descent finds a smooth approximation,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Reinhard Heckel,Mahdi Soltanolkotabi",Compressive sensing with un-trained neural networks: Gradient descent finds a smooth approximation,Wed Jul 15 12:00 PM -- 12:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,12:00 PM,12:45 PM
"Yanyao Shen,Hsiang-Fu Yu,Sujay Sanghavi,Inderjit Dhillon",Extreme Multi-label Classification from Aggregated Labels,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Yanyao Shen,Hsiang-Fu Yu,Sujay Sanghavi,Inderjit Dhillon",Extreme Multi-label Classification from Aggregated Labels,Wed Jul 15 12:00 PM -- 12:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,12:00 PM,12:45 PM
"Riccardo Grazzi,Saverio Salzo,Massimiliano Pontil,Luca Franceschi",On the Iteration Complexity of Hypergradient Computations,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Riccardo Grazzi,Saverio Salzo,Massimiliano Pontil,Luca Franceschi",On the Iteration Complexity of Hypergradient Computations,Wed Jul 15 12:00 PM -- 12:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,12:00 PM,12:45 PM
"Asaf Cassel,Alon Cohen,Tomer Koren",Logarithmic Regret for Learning Linear Quadratic Regulators Efficiently,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Asaf Cassel,Alon Cohen,Tomer Koren",Logarithmic Regret for Learning Linear Quadratic Regulators Efficiently,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Hicham Janati,Marco Cuturi,Alexandre Gramfort",Debiased Sinkhorn barycenters,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Hicham Janati,Marco Cuturi,Alexandre Gramfort",Debiased Sinkhorn barycenters,Wed Jul 15 12:00 PM -- 12:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,12:00 PM,12:45 PM
Laurence Aitchison,Why bigger is not always better: on finite and infinite neural networks,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
Laurence Aitchison,Why bigger is not always better: on finite and infinite neural networks,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Dominic Richards,Patrick Rebeschini,Lorenzo Rosasco",Decentralised Learning with Random Features and Distributed Gradient Descent,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Dominic Richards,Patrick Rebeschini,Lorenzo Rosasco",Decentralised Learning with Random Features and Distributed Gradient Descent,Wed Jul 15 12:00 PM -- 12:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,12:00 PM,12:45 PM
"Kevin Yang,Wengong Jin,Kyle Swanson,Regina Barzilay,Tommi Jaakkola",Improving Molecular Design by Stochastic Iterative Target Augmentation,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Kevin Yang,Wengong Jin,Kyle Swanson,Regina Barzilay,Tommi Jaakkola",Improving Molecular Design by Stochastic Iterative Target Augmentation,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Georg Kohl,Kiwon Um,Nils Thuerey",Learning Similarity Metrics for Numerical Simulations,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Georg Kohl,Kiwon Um,Nils Thuerey",Learning Similarity Metrics for Numerical Simulations,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"hang zhang,Ping Li",Optimal Estimator for Unlabeled Linear Regression,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"hang zhang,Ping Li",Optimal Estimator for Unlabeled Linear Regression,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
John Sipple,"Interpretable, Multidimensional, Multimodal Anomaly Detection with Negative Sampling for Detection of Device Failure",Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
John Sipple,"Interpretable, Multidimensional, Multimodal Anomaly Detection with Negative Sampling for Detection of Device Failure",Wed Jul 15 12:00 PM -- 12:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,12:00 PM,12:45 PM
Vaclav Rozhon,Simple and sharp analysis of k-means||,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
Vaclav Rozhon,Simple and sharp analysis of k-means||,Wed Jul 15 12:00 PM -- 12:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,12:00 PM,12:45 PM
"Eliya Nachmani,Yossi Adi,Lior Wolf",Voice Separation with an Unknown Number of Multiple Speakers,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Eliya Nachmani,Yossi Adi,Lior Wolf",Voice Separation with an Unknown Number of Multiple Speakers,Wed Jul 15 12:00 PM -- 12:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,12:00 PM,12:45 PM
"Tianlin Liu,Friedemann Zenke",Finding trainable sparse networks through Neural Tangent Transfer ,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Tianlin Liu,Friedemann Zenke",Finding trainable sparse networks through Neural Tangent Transfer ,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Leonard Berrada,M. Pawan Kumar,Andrew Zisserman",Training Neural Networks for and by Interpolation,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Leonard Berrada,M. Pawan Kumar,Andrew Zisserman",Training Neural Networks for and by Interpolation,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Pasquale Minervini,Tim Rocktäschel,Sebastian Riedel,Edward Grefenstette,Pontus Stenetorp",Learning Reasoning Strategies in End-to-End Differentiable Proving,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Pasquale Minervini,Tim Rocktäschel,Sebastian Riedel,Edward Grefenstette,Pontus Stenetorp",Learning Reasoning Strategies in End-to-End Differentiable Proving,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Hao Wang,Hao He,Dina Katabi",Continuously Indexed Domain Adaptation,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Hao Wang,Hao He,Dina Katabi",Continuously Indexed Domain Adaptation,Wed Jul 15 12:00 PM -- 12:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,12:00 PM,12:45 PM
"Amir Zandieh,David Woodruff",Near Input Sparsity Time Kernel Embeddings via Adaptive Sampling,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Amir Zandieh,David Woodruff",Near Input Sparsity Time Kernel Embeddings via Adaptive Sampling,Wed Jul 15 12:00 PM -- 12:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,12:00 PM,12:45 PM
"Mohamed El Amine Seddik,Cosme Louart,Mohamed Tamaazousti,Romain  COUILLET",Random Matrix Theory Proves that Deep Learning Representations of GAN-data Behave as Gaussian Mixtures,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Mohamed El Amine Seddik,Cosme Louart,Mohamed Tamaazousti,Romain  COUILLET",Random Matrix Theory Proves that Deep Learning Representations of GAN-data Behave as Gaussian Mixtures,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Alexander Vezhnevets,Yuhuai Wu,Maria Eckstein,Rémi Leblond,Joel Z Leibo",OPtions as REsponses: Grounding behavioural hierarchies in multi-agent reinforcement learning,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Alexander Vezhnevets,Yuhuai Wu,Maria Eckstein,Rémi Leblond,Joel Z Leibo",OPtions as REsponses: Grounding behavioural hierarchies in multi-agent reinforcement learning,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
"Zhendong Wang,Mingyuan Zhou",Thompson Sampling via Local Uncertainty,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Zhendong Wang,Mingyuan Zhou",Thompson Sampling via Local Uncertainty,Wed Jul 15 11:00 AM -- 11:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,11:00 AM,11:45 AM
"Vu Nguyen,Michael A Osborne",Knowing The What But Not The Where in Bayesian Optimization,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Vu Nguyen,Michael A Osborne",Knowing The What But Not The Where in Bayesian Optimization,Wed Jul 15 12:00 PM -- 12:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,12:00 PM,12:45 PM
"Jiri Hron,Yasaman Bahri,Jascha Sohl-Dickstein,Roman Novak",Infinite attention: NNGP and NTK for deep attention networks,Tue Jul 14 11:00 PM -- 11:45 PM,Poster,Tue,Jul 14,Jul 14,11:00 PM,11:45 PM
"Jiri Hron,Yasaman Bahri,Jascha Sohl-Dickstein,Roman Novak",Infinite attention: NNGP and NTK for deep attention networks,Wed Jul 15 10:00 AM -- 10:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,10:00 AM,10:45 AM
,Coffee Break,Tue Jul 14 11:45 PM -- 12:00 AM (CEST) ,Break,Tue,Jul 14,Jul 14,11:45 PM,12:00 AM
"Qiuyu Zhu,Vincent Tan",Thompson Sampling Algorithms for Mean-Variance Bandits,Wed Jul 15 12:00 AM -- 12:45 AM,Poster,Wed,Jul 15,Jul 15,12:00 AM,12:45 AM
"Qiuyu Zhu,Vincent Tan",Thompson Sampling Algorithms for Mean-Variance Bandits,Wed Jul 15 01:00 PM -- 01:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,01:00 PM,01:45 PM
"Clare Lyle,Amy Zhang,Angelos Filos,Shagun Sodhani,Marta Kwiatkowska,Yarin Gal,Doina Precup,Joelle Pineau",Invariant Causal Prediction for Block MDPs,Wed Jul 15 12:00 AM -- 12:45 AM,Poster,Wed,Jul 15,Jul 15,12:00 AM,12:45 AM
"Clare Lyle,Amy Zhang,Angelos Filos,Shagun Sodhani,Marta Kwiatkowska,Yarin Gal,Doina Precup,Joelle Pineau",Invariant Causal Prediction for Block MDPs,Wed Jul 15 01:00 PM -- 01:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,01:00 PM,01:45 PM
Edouard Oyallon,Interferometric Graph Transform: a Deep Unsupervised Graph Representation,Wed Jul 15 12:00 AM -- 12:45 AM,Poster,Wed,Jul 15,Jul 15,12:00 AM,12:45 AM
Edouard Oyallon,Interferometric Graph Transform: a Deep Unsupervised Graph Representation,Wed Jul 15 01:00 PM -- 01:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,01:00 PM,01:45 PM
"Nathan Kallus,Masatoshi Uehara",Double Reinforcement Learning for Efficient and Robust Off-Policy Evaluation,Wed Jul 15 12:00 AM -- 12:45 AM,Poster,Wed,Jul 15,Jul 15,12:00 AM,12:45 AM
"Nathan Kallus,Masatoshi Uehara",Double Reinforcement Learning for Efficient and Robust Off-Policy Evaluation,Wed Jul 15 01:00 PM -- 01:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,01:00 PM,01:45 PM
"Yaotian Wang,Xiaohang Sun,Jason Fleischer",When deep denoising meets iterative phase retrieval,Wed Jul 15 12:00 AM -- 12:45 AM,Poster,Wed,Jul 15,Jul 15,12:00 AM,12:45 AM
"Yaotian Wang,Xiaohang Sun,Jason Fleischer",When deep denoising meets iterative phase retrieval,Wed Jul 15 01:00 PM -- 01:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,01:00 PM,01:45 PM
"Kaizhi Qian,Yang Zhang,Shiyu Chang,Mark Hasegawa-Johnson,David Cox",Unsupervised Speech Decomposition via Triple Information Bottleneck,Wed Jul 15 12:00 AM -- 12:45 AM,Poster,Wed,Jul 15,Jul 15,12:00 AM,12:45 AM
"Kaizhi Qian,Yang Zhang,Shiyu Chang,Mark Hasegawa-Johnson,David Cox",Unsupervised Speech Decomposition via Triple Information Bottleneck,Wed Jul 15 01:00 PM -- 01:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,01:00 PM,01:45 PM
"Ching-Yao Chuang,Antonio Torralba,Stefanie Jegelka",Understanding and Estimating the Adaptability of Domain-Invariant Representations,Wed Jul 15 12:00 AM -- 12:45 AM,Poster,Wed,Jul 15,Jul 15,12:00 AM,12:45 AM
"Ching-Yao Chuang,Antonio Torralba,Stefanie Jegelka",Understanding and Estimating the Adaptability of Domain-Invariant Representations,Wed Jul 15 01:00 PM -- 01:45 PM (CEST) ,Poster,Wed,Jul 15,Jul 15,01:00 PM,01:45 PM
