Authors/Speakers,Title,datetime,type,day,date,time,start_time,end_time
,Coffee Break,Tue Jul 14 02:45 AM -- 03:00 AM (CEST) ,Break,Tue,Jul 14,Jul 14,02:45 AM,03:00 AM
,Coffee Break,Tue Jul 14 03:45 AM -- 04:00 AM (CEST) ,Break,Tue,Jul 14,Jul 14,03:45 AM,04:00 AM
,Coffee Break,Tue Jul 14 04:45 AM -- 05:00 AM (CEST) ,Break,Tue,Jul 14,Jul 14,04:45 AM,05:00 AM
,Coffee Break,Tue Jul 14 05:45 AM -- 06:00 AM (CEST) ,Break,Tue,Jul 14,Jul 14,05:45 AM,06:00 AM
,Coffee Break,Tue Jul 14 06:45 AM -- 07:00 AM (CEST) ,Break,Tue,Jul 14,Jul 14,06:45 AM,07:00 AM
,Coffee Break,Tue Jul 14 07:45 AM -- 08:00 AM (CEST) ,Break,Tue,Jul 14,Jul 14,07:45 AM,08:00 AM
,Coffee Break,Tue Jul 14 08:45 AM -- 09:00 AM (CEST) ,Break,Tue,Jul 14,Jul 14,08:45 AM,09:00 AM
,Coffee Break,Tue Jul 14 09:45 AM -- 10:00 AM (CEST) ,Break,Tue,Jul 14,Jul 14,09:45 AM,10:00 AM
,Coffee Break,Tue Jul 14 10:45 AM -- 11:00 AM (CEST) ,Break,Tue,Jul 14,Jul 14,10:45 AM,11:00 AM
,Coffee Break,Tue Jul 14 11:45 AM -- 12:00 PM (CEST) ,Break,Tue,Jul 14,Jul 14,11:45 AM,12:00 PM
,Coffee Break,Tue Jul 14 12:45 PM -- 01:00 PM (CEST) ,Break,Tue,Jul 14,Jul 14,12:45 PM,01:00 PM
,Coffee Break,Tue Jul 14 01:45 PM -- 02:00 PM (CEST) ,Break,Tue,Jul 14,Jul 14,01:45 PM,02:00 PM
Lester Mackey,Doing Some Good with Machine Learning,Tue Jul 14 02:00 PM -- 04:00 PM,Invited Talk,Tue,Jul 14,Jul 14,02:00 PM,04:00 PM
Lester Mackey,Doing Some Good with Machine Learning,Wed Jul 15 01:00 AM -- 03:00 AM (CEST) ,Invited Talk,Wed,Jul 15,Jul 15,01:00 AM,03:00 AM
"Feihu Huang,Lue Tao,Songcan Chen",Accelerated Stochastic Gradient-free and Projection-free Methods,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Feihu Huang,Lue Tao,Songcan Chen",Accelerated Stochastic Gradient-free and Projection-free Methods,Wed Jul 15 05:00 AM -- 05:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,05:00 AM,05:45 AM
"Chanwoo Lee,Miaoyan Wang",Tensor denoising and completion based on ordinal observations,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Chanwoo Lee,Miaoyan Wang",Tensor denoising and completion based on ordinal observations,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Jingfeng Wu,Wenqing Hu,Haoyi Xiong,Jun Huan,Vladimir Braverman,Zhanxing Zhu",On the Noisy Gradient Descent that Generalizes as SGD,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Jingfeng Wu,Wenqing Hu,Haoyi Xiong,Jun Huan,Vladimir Braverman,Zhanxing Zhu",On the Noisy Gradient Descent that Generalizes as SGD,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Chi Jin,Praneeth Netrapalli,Michael Jordan",What is Local Optimality in Nonconvex-Nonconcave Minimax Optimization?,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Chi Jin,Praneeth Netrapalli,Michael Jordan",What is Local Optimality in Nonconvex-Nonconcave Minimax Optimization?,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Kubra Cilingir,Rachel Manzelli,Brian Kulis",Deep Divergence Learning,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Kubra Cilingir,Rachel Manzelli,Brian Kulis",Deep Divergence Learning,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Yunhao Tang,Michal Valko,Remi Munos",Taylor Expansion Policy Optimization,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Yunhao Tang,Michal Valko,Remi Munos",Taylor Expansion Policy Optimization,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Xiaotian Hao,Zhaoqing Peng,
Yi Ma,Guan Wang,Junqi Jin,Jianye Hao,Shan Chen,Rongquan Bai,
Mingzhou Xie,Miao Xu,Zhenzhe Zheng,Chuan Yu,HAN LI,Jian Xu,
Kun Gai",Dynamic Knapsack Optimization Towards Efficient Multi-Channel Sequential Advertising,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Xiaotian Hao,Zhaoqing Peng,
Yi Ma,Guan Wang,Junqi Jin,Jianye Hao,Shan Chen,Rongquan Bai,
Mingzhou Xie,Miao Xu,Zhenzhe Zheng,Chuan Yu,HAN LI,Jian Xu,
Kun Gai",Dynamic Knapsack Optimization Towards Efficient Multi-Channel Sequential Advertising,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Yan Yan,Yi Xu,Lijun Zhang,Wang Xiaoyu,Tianbao Yang",Stochastic Optimization for Non-convex Inf-Projection Problems,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Yan Yan,Yi Xu,Lijun Zhang,Wang Xiaoyu,Tianbao Yang",Stochastic Optimization for Non-convex Inf-Projection Problems,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Wei Chen,Yihan Du,Longbo Huang,Haoyu Zhao",Combinatorial Pure Exploration for Dueling Bandit,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Wei Chen,Yihan Du,Longbo Huang,Haoyu Zhao",Combinatorial Pure Exploration for Dueling Bandit,Wed Jul 15 04:00 AM -- 04:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,04:00 AM,04:45 AM
"Nozomi Hata,Shizuo Kaji,Akihiro Yoshida,Katsuki Fujisawa",Nested Subspace Arrangement for Representation of Relational Data,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Nozomi Hata,Shizuo Kaji,Akihiro Yoshida,Katsuki Fujisawa",Nested Subspace Arrangement for Representation of Relational Data,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Wenpin Tang,Xin Guo,Fengmin Tang",The Buckley-Osthus model and the block preferential attachment model: statistical analysis and application,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Wenpin Tang,Xin Guo,Fengmin Tang",The Buckley-Osthus model and the block preferential attachment model: statistical analysis and application,Wed Jul 15 04:00 AM -- 04:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,04:00 AM,04:45 AM
"Razieh Nabi,Rohit Bhattacharya,Ilya Shpitser",Full Law Identification In Graphical Models Of Missing Data: Completeness Results,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Razieh Nabi,Rohit Bhattacharya,Ilya Shpitser",Full Law Identification In Graphical Models Of Missing Data: Completeness Results,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Daniel Rothchild,Ashwinee 
Panda,Enayat Ullah,Nikita Ivkin,Vladimir Braverman,Joseph 
Gonzalez,Ion Stoica,Raman Arora",Communication-Efficient Federated Learning with Sketching,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Daniel Rothchild,Ashwinee 
Panda,Enayat Ullah,Nikita Ivkin,Vladimir Braverman,Joseph 
Gonzalez,Ion Stoica,Raman Arora",Communication-Efficient Federated Learning with Sketching,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Rob Brekelmans,Vaden W Masrani,Frank Wood,Greg Ver Steeg,Aram Galstyan",All in the (Exponential) Family: Information Geometry and Thermodynamic Variational Inference,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Rob Brekelmans,Vaden W Masrani,Frank Wood,Greg Ver Steeg,Aram Galstyan",All in the (Exponential) Family: Information Geometry and Thermodynamic Variational Inference,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Dejun Chu,Changshui Zhang,Shiliang Sun,Qing Tao","Semismooth Newton Algorithm for Efficient Projections onto ℓ1,∞ℓ1,∞-norm Ball",Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Dejun Chu,Changshui Zhang,Shiliang Sun,Qing Tao","Semismooth Newton Algorithm for Efficient Projections onto ℓ1,∞ℓ1,∞-norm Ball",Wed Jul 15 05:00 AM -- 05:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,05:00 AM,05:45 AM
"David Rolnick,Konrad Kording",Reverse-engineering deep ReLU networks,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"David Rolnick,Konrad Kording",Reverse-engineering deep ReLU networks,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Vihari Piratla,Praneeth Netrapalli,Sunita Sarawagi",Efficient Domain Generalization via Common-Specific Low-Rank Decomposition,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Vihari Piratla,Praneeth Netrapalli,Sunita Sarawagi",Efficient Domain Generalization via Common-Specific Low-Rank Decomposition,Wed Jul 15 04:00 AM -- 04:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,04:00 AM,04:45 AM
"Jiani Huang,Calvin Smith,Osbert Bastani,Rishabh Singh,Aws Albarghouthi,Mayur Naik",Generating Programmatic Referring Expressions via Program Synthesis,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Jiani Huang,Calvin Smith,Osbert Bastani,Rishabh Singh,Aws Albarghouthi,Mayur Naik",Generating Programmatic Referring Expressions via Program Synthesis,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Tri Huynh,Michael Maire,Matthew Walter",Multigrid Neural Memory,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Tri Huynh,Michael Maire,Matthew Walter",Multigrid Neural Memory,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Steven Cheng-Xian Li,Benjamin M Marlin",Learning From Irregularly-Sampled Time Series: A Missing Data Perspective,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Steven Cheng-Xian Li,Benjamin M Marlin",Learning From Irregularly-Sampled Time Series: A Missing Data Perspective,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
"Ming Chen,Zhewei Wei,Zengfeng Huang,Bolin Ding,Yaliang Li",Simple and Deep Graph Convolutional Networks,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Ming Chen,Zhewei Wei,Zengfeng Huang,Bolin Ding,Yaliang Li",Simple and Deep Graph Convolutional Networks,Wed Jul 15 04:00 AM -- 04:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,04:00 AM,04:45 AM
"Jenny Hamer,Mehryar Mohri,Ananda Theertha Suresh",FedBoost: A Communication-Efficient Algorithm for Federated Learning,Tue Jul 14 04:00 PM -- 04:45 PM,Poster,Tue,Jul 14,Jul 14,04:00 PM,04:45 PM
"Jenny Hamer,Mehryar Mohri,Ananda Theertha Suresh",FedBoost: A Communication-Efficient Algorithm for Federated Learning,Wed Jul 15 03:00 AM -- 03:45 AM (CEST) ,Poster,Wed,Jul 15,Jul 15,03:00 AM,03:45 AM
